,marketingStatusSimplifiedCd,hasImage,statusText,beds,baths,area,sgapt,has3DModel,hasAdditionalAttributions,latitude,longitude,city,state,price,homeType,rentZestimate
4748,Non Owner Occupied,True,Sold,2.0,1.0,1178.0,Unknown Listed By,False,False,37.74109,-122.45339,San Francisco,CA,1550000.0,SINGLE_FAMILY,4200.0
4749,RecentChange,True,Sold,3.0,3.0,1360.0,RecentChange,False,False,37.728935,-122.37246,San Francisco,CA,528000.0,CONDO,4800.0
4750,Non Owner Occupied,True,Sold,3.0,3.0,1642.0,Unknown Listed By,False,True,37.740593,-122.41496,San Francisco,CA,1511250.0,SINGLE_FAMILY,6000.0
4751,Non Owner Occupied,True,Sold,2.0,1.0,1000.0,Unknown Listed By,False,True,37.738987,-122.41124,San Francisco,CA,1380000.0,SINGLE_FAMILY,4149.0
4752,RecentChange,True,Sold,3.0,2.0,1252.0,RecentChange,False,False,37.722866,-122.42784,San Francisco,CA,990000.0,SINGLE_FAMILY,4795.0
4753,Non Owner Occupied,True,Sold,2.0,2.0,0.0,Unknown Listed By,False,True,37.74964,-122.42533,San Francisco,CA,2325000.0,SINGLE_FAMILY,8819.0
4754,Non Owner Occupied,True,Sold,3.0,3.0,1880.0,Unknown Listed By,False,True,37.73291,-122.42961,San Francisco,CA,1550999.0,SINGLE_FAMILY,5500.0
4755,Non Owner Occupied,True,Sold,4.0,3.0,2020.0,Unknown Listed By,False,True,37.71901,-122.471375,San Francisco,CA,1800000.0,SINGLE_FAMILY,5498.0
4756,Non Owner Occupied,True,Sold,2.0,2.0,1122.0,Unknown Listed By,True,True,37.718136,-122.46305,San Francisco,CA,1150500.0,SINGLE_FAMILY,4300.0
4757,Non Owner Occupied,True,Sold,3.0,2.0,1670.0,Unknown Listed By,False,True,37.71379,-122.45542,San Francisco,CA,1123000.0,SINGLE_FAMILY,4850.0
4758,Non Owner Occupied,False,Sold,,2.0,3137.0,Unknown Listed By,False,False,37.751446,-122.41861,San Francisco,CA,1570000.0,SINGLE_FAMILY,4349.0
4759,Non Owner Occupied,True,Sold,2.0,2.0,1444.0,Unknown Listed By,False,True,37.761307,-122.50632,San Francisco,CA,868000.0,MULTI_FAMILY,4200.0
4760,Non Owner Occupied,False,Sold,4.0,2.0,2250.0,Unknown Listed By,False,False,37.777557,-122.460014,San Francisco,CA,1220000.0,MULTI_FAMILY,6749.0
4761,Non Owner Occupied,True,Sold,5.0,7.0,2434.0,Unknown Listed By,False,True,37.74187,-122.42625,San Francisco,CA,2500000.0,MULTI_FAMILY,9949.0
4762,Non Owner Occupied,True,Sold,3.0,3.0,0.0,Unknown Listed By,False,True,37.78875,-122.39529,San Francisco,CA,6995000.0,CONDO,11949.0
4763,Non Owner Occupied,True,Sold,2.0,2.0,0.0,Unknown Listed By,False,True,37.756203,-122.42169,San Francisco,CA,1025000.0,CONDO,4289.0
4764,Non Owner Occupied,True,Sold,,0.0,18750.0,Unknown Listed By,False,True,37.784805,-122.416504,San Francisco,CA,4475000.0,MULTI_FAMILY,14975.0
4765,Non Owner Occupied,True,Sold,2.0,2.0,1780.0,Unknown Listed By,False,True,37.776196,-122.50347,San Francisco,CA,2250000.0,SINGLE_FAMILY,4921.0
4766,Non Owner Occupied,True,Sold,3.0,2.0,1701.0,Unknown Listed By,False,False,37.751297,-122.505554,San Francisco,CA,1600000.0,SINGLE_FAMILY,4781.0
4767,Non Owner Occupied,True,Sold,2.0,1.0,800.0,Unknown Listed By,False,False,37.750694,-122.49094,San Francisco,CA,1250000.0,SINGLE_FAMILY,2999.0
4768,Non Owner Occupied,False,Sold,,2.0,1726.0,Unknown Listed By,False,False,37.738617,-122.488014,San Francisco,CA,300000.0,SINGLE_FAMILY,3999.0
4769,Non Owner Occupied,True,Sold,3.0,2.0,1775.0,Unknown Listed By,False,True,37.761948,-122.43862,San Francisco,CA,1900000.0,SINGLE_FAMILY,7199.0
4770,Non Owner Occupied,True,Sold,3.0,2.0,1530.0,Unknown Listed By,False,True,37.754486,-122.39921,San Francisco,CA,1534500.0,SINGLE_FAMILY,5398.0
4771,RecentChange,True,Sold,3.0,2.0,1230.0,RecentChange,False,False,37.720615,-122.4027,San Francisco,CA,1250000.0,SINGLE_FAMILY,4535.0
4772,Non Owner Occupied,True,Sold,3.0,1.0,0.0,Unknown Listed By,False,False,37.736984,-122.43439,San Francisco,CA,3200000.0,SINGLE_FAMILY,12141.0
4773,Non Owner Occupied,False,Sold,,1.0,1610.0,Unknown Listed By,False,False,37.73126,-122.447075,San Francisco,CA,1150000.0,SINGLE_FAMILY,4248.0
4774,Non Owner Occupied,False,Sold,3.0,2.0,1329.0,Unknown Listed By,False,False,37.73527,-122.39206,San Francisco,CA,700000.0,SINGLE_FAMILY,4496.0
4775,Non Owner Occupied,False,Sold,,5.0,3033.0,Unknown Listed By,False,False,37.75535,-122.43634,San Francisco,CA,3700000.0,MULTI_FAMILY,14498.0
4776,Non Owner Occupied,True,Sold,3.0,2.0,1610.0,Unknown Listed By,True,True,37.78664,-122.44553,San Francisco,CA,2150000.0,CONDO,6749.0
4777,Non Owner Occupied,True,Sold,2.0,2.0,1610.0,Unknown Listed By,False,True,37.7316,-122.44998,San Francisco,CA,1150000.0,MULTI_FAMILY,4999.0
4778,Non Owner Occupied,True,Sold,,0.0,4284.0,Unknown Listed By,False,True,37.75319,-122.50405,San Francisco,CA,1780000.0,MULTI_FAMILY,2199.0
4779,Non Owner Occupied,True,Sold,3.0,2.0,1611.0,Unknown Listed By,False,True,37.804325,-122.42205,San Francisco,CA,1973000.0,SINGLE_FAMILY,6799.0
4780,Non Owner Occupied,True,Sold,3.0,4.0,0.0,Unknown Listed By,False,True,37.796375,-122.43584,San Francisco,CA,7600000.0,CONDO,28443.0
4781,Non Owner Occupied,True,Sold,2.0,1.0,1573.0,Unknown Listed By,False,True,37.77782,-122.50788,San Francisco,CA,1600000.0,SINGLE_FAMILY,3994.0
4782,Non Owner Occupied,True,Sold,3.0,2.0,2124.0,Unknown Listed By,False,False,37.75678,-122.47379,San Francisco,CA,2500000.0,SINGLE_FAMILY,9568.0
4783,Non Owner Occupied,False,Sold,2.0,1.0,1200.0,Unknown Listed By,False,True,37.74398,-122.5066,San Francisco,CA,1240000.0,SINGLE_FAMILY,3694.0
4784,Non Owner Occupied,True,Sold,2.0,1.0,1250.0,Unknown Listed By,False,True,37.73783,-122.477806,San Francisco,CA,1365000.0,SINGLE_FAMILY,3800.0
4785,Non Owner Occupied,True,Sold,2.0,1.0,1100.0,Unknown Listed By,False,False,37.730137,-122.44733,San Francisco,CA,1150000.0,SINGLE_FAMILY,4099.0
4786,Non Owner Occupied,True,Sold,5.0,5.0,2317.0,Unknown Listed By,True,True,37.72872,-122.45888,San Francisco,CA,2575000.0,SINGLE_FAMILY,9881.0
4787,Non Owner Occupied,True,Sold,4.0,3.0,1774.0,Unknown Listed By,True,True,37.719753,-122.39302,San Francisco,CA,1250000.0,SINGLE_FAMILY,5400.0
