,marketingStatusSimplifiedCd,hasImage,statusText,beds,baths,area,sgapt,has3DModel,hasVideo,hasAdditionalAttributions,latitude,longitude,variableData.text,streetAddress,zipcode,city,state,homeType,rentZestimate,price,homeStatusForHDP
62,RecentChange,True,Sold,4.0,4.0,2000.0,RecentChange,True,False,True,42.318085,-71.11038,Sold 02/23/2024,51 Roseway St #1,2130.0,Jamaica Plain,MA,TOWNHOUSE,,1650000.0,RECENTLY_SOLD
63,RecentChange,True,Sold,2.0,2.0,1130.0,RecentChange,False,False,True,42.38189,-71.036995,Sold 02/23/2024,65 Falcon St #1,2128.0,Boston,MA,CONDO,,635000.0,RECENTLY_SOLD
64,RecentChange,True,Sold,2.0,2.0,1416.0,RecentChange,True,False,True,42.333496,-71.048805,Sold 02/22/2024,4 Mercer St #4,2127.0,Boston,MA,TOWNHOUSE,4200.0,760000.0,RECENTLY_SOLD
65,Non Owner Occupied,True,Sold,2.0,3.0,1481.0,Unknown Listed By,False,False,True,42.341965,-71.07865,,42 Rutland Sq #3,2118.0,Boston,MA,CONDO,6119.0,7200.0,FOR_RENT
66,RecentChange,True,Sold,2.0,2.0,943.0,RecentChange,False,False,True,42.29831,-71.110985,Sold 02/22/2024,71 Tower St #2,2130.0,Jamaica Plain,MA,CONDO,2999.0,595000.0,RECENTLY_SOLD
67,RecentChange,True,Sold,6.0,5.0,2892.0,RecentChange,False,False,True,42.365795,-71.03444,Sold 02/21/2024,178 Webster St,2128.0,East Boston,MA,MULTI_FAMILY,6199.0,1200000.0,RECENTLY_SOLD
68,RecentChange,True,Sold,3.0,2.0,1502.0,RecentChange,False,False,True,42.281334,-71.09828,Sold 02/21/2024,593 Walk Hill St,2126.0,Boston,MA,SINGLE_FAMILY,3399.0,415000.0,RECENTLY_SOLD
69,RecentChange,True,Sold,4.0,2.0,2112.0,RecentChange,False,False,True,42.292564,-71.134476,Sold 02/21/2024,57 Knoll St,2131.0,Roslindale,MA,MULTI_FAMILY,4550.0,910000.0,RECENTLY_SOLD
70,RecentChange,True,Sold,4.0,2.0,1910.0,RecentChange,False,False,True,42.346478,-71.0713,Sold 02/21/2024,2 Lawrence St,2116.0,Boston,MA,SINGLE_FAMILY,6494.0,1835000.0,RECENTLY_SOLD
71,RecentChange,True,Sold,2.0,2.0,1044.0,RecentChange,True,False,True,42.29333,-71.17003,Sold 02/21/2024,855 Lagrange St UNIT 4,2132.0,Boston,MA,TOWNHOUSE,2900.0,576000.0,RECENTLY_SOLD
72,RecentChange,True,Sold,1.0,1.0,470.0,RecentChange,False,False,True,42.34741,-71.13744,Sold 02/20/2024,200 Kelton St APT 33,2134.0,Allston,MA,CONDO,2350.0,350000.0,RECENTLY_SOLD
73,RecentChange,True,Sold,2.0,2.0,1322.0,RecentChange,False,False,True,42.301846,-71.057,Sold 02/20/2024,61 Leonard St,2122.0,Dorchester,MA,SINGLE_FAMILY,2850.0,540000.0,RECENTLY_SOLD
74,RecentChange,True,Sold,5.0,3.0,2080.0,RecentChange,False,False,True,42.286587,-71.076706,Sold 02/20/2024,22 Whitman St,2124.0,Dorchester,MA,SINGLE_FAMILY,6058.0,633000.0,RECENTLY_SOLD
75,RecentChange,True,Sold,6.0,3.0,3732.0,Unknown Listed By,False,False,True,42.38833,-71.00666,Sold 02/20/2024,40 Breed St,2128.0,East Boston,MA,MULTI_FAMILY,7099.0,1200000.0,
76,RecentChange,True,Sold,1.0,1.0,770.0,Unknown Listed By,False,False,True,42.35313,-71.139336,Sold 02/20/2024,533 Cambridge St UNIT 207,2134.0,Allston,MA,CONDO,2800.0,639000.0,FOR_SALE
77,RecentChange,True,Sold,3.0,3.0,2549.0,RecentChange,False,False,True,42.341946,-71.06682,Sold 02/20/2024,485 Harrison Ave #609,2118.0,Boston,MA,CONDO,13320.0,3550000.0,RECENTLY_SOLD
78,RecentChange,True,Sold,3.0,3.0,1363.0,RecentChange,False,False,True,42.25312,-71.127075,Sold 02/20/2024,23 Business Ter #23,2136.0,Hyde Park,MA,CONDO,2999.0,435000.0,RECENTLY_SOLD
79,RecentChange,True,Sold,1.0,1.0,485.0,Unknown Listed By,True,False,True,42.338615,-71.15075,Sold 02/16/2024,26 Chiswick Rd APT 15,2135.0,Brighton,MA,CONDO,2147.0,336600.0,RECENTLY_SOLD
80,RecentChange,True,Sold,8.0,5.0,4317.0,Unknown Listed By,False,False,True,42.302937,-71.07334,Sold 02/16/2024,106 Rosseter St,2121.0,Dorchester,MA,MULTI_FAMILY,8970.0,1120000.0,RECENTLY_SOLD
81,Non Owner Occupied,True,Sold,9.0,3.0,4518.0,Unknown Listed By,False,False,False,42.29522,-71.08103,Sold 02/16/2024,33 Kingsdale St,2124.0,Dorchester,MA,MULTI_FAMILY,8970.0,838000.0,RECENTLY_SOLD
82,RecentChange,True,Sold,3.0,2.0,2586.0,RecentChange,False,False,True,42.29076,-71.0487,Sold 02/16/2024,244 Neponset Ave,2122.0,Dorchester,MA,MULTI_FAMILY,4400.0,790000.0,RECENTLY_SOLD
83,RecentChange,True,Sold,6.0,3.0,2028.0,RecentChange,False,False,True,42.37174,-71.04053,Sold 02/16/2024,68 London St,2128.0,East Boston,MA,MULTI_FAMILY,6499.0,800000.0,RECENTLY_SOLD
